institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,1,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,2,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,3,13
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,4,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,5,11
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,6,15
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,7,11
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,8,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,9,16
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,10,10
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,11,9
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,12,11
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,13,13
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,14,16
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,15,19
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,16,8
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,17,19
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,WR,18,25
