institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,1,34
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,2,69
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,3,27
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,4,17
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,5,67
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,6,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,7,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,8,62
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,9,50
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,10,45
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,11,45
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,12,65
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,13,37
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,14,62
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,15,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,16,47
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,17,23
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,18,19
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,19,31
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,20,11
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,21,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,22,20
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,23,74
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,24,47
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,25,70
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,26,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,27,46
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,28,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,29,70
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,30,11
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,31,17
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,32,66
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,33,68
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,34,42
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,35,15
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,36,71
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,37,33
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,38,69
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,39,74
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,40,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,41,59
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,42,30
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,43,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,44,65
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,45,64
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,46,22
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,47,47
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,48,14
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,49,55
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,50,10
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,51,29
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,52,43
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,53,61
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,54,11
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,55,72
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,56,69
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,57,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,58,61
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,59,49
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,পদার্থবিজ্ঞান,WR,60,75
