institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,1,25
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,2,45
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,3,61
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,4,40
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,5,42
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,6,24
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,7,21
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,8,26
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,9,35
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,10,53
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,11,23
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,12,41
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,13,37
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,14,57
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,15,67
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,16,67
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,17,68
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,18,50
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,19,46
PHS,2025,mornning,10	,Science,A,অর্ধবার্ষিক পরীক্ষা,ধর্ম,WR,20,43
