institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,1,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,2,44
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,3,50
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,4,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,5,42
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,6,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,7,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,8,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,9,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,10,43
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,11,49
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,12,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,13,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,14,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,15,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,16,32
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,17,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,18,38
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,19,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,20,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,21,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,22,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,23,41
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,24,37
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,25,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,26,41
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,27,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,28,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,29,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,30,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,31,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,32,50
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,33,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,34,48
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,35,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,36,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,37,48
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,38,40
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,39,40
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,40,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,41,46
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,42,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,43,32
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,44,36
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,45,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,46,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,47,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,48,36
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,49,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,50,48
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,51,43
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,স্বাস্থ্য বিজ্ঞান ও খেলাধুলা,CA,52,48
