institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,1,10
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,2,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,3,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,4,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,5,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,6,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,7,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,8,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,9,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,10,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,11,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,12,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,13,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,14,16
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,15,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,MCQ,16,16
