institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,1,61
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,2,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,3,16
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,4,63
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,5,42
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,6,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,7,49
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,8,69
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,9,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,10,45
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,11,63
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,12,37
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,13,64
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,14,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,15,64
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,16,66
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,17,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,18,52
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,19,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,20,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,21,64
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,22,69
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,23,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,24,67
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,25,51
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলা দ্বিতীয় পত্র,WR,26,28
