institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,1,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,2,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,3,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,4,14
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,5,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,6,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,7,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,8,14
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,9,17
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,10,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,11,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,12,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,13,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,14,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,15,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,16,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,17,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,18,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,19,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,20,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,21,14
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,22,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,23,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,24,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,25,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,26,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,27,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,28,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,29,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,30,16
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,31,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,32,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,33,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,34,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,35,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,36,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,37,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,38,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,39,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,40,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,MCQ,41,21
