institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,1,53
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,2,48
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,3,15
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,4,14
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,5,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,6,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,7,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,8,45
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,9,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,10,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,11,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,12,56
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,13,70
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,14,46
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,15,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,16,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,17,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,18,54
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,19,56
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,20,60
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,21,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,22,55
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,23,65
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,24,68
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,25,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,26,41
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,27,55
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,28,49
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,29,41
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,30,63
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,31,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,32,38
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,33,66
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,34,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,35,48
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,36,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,37,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,38,44
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,39,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,40,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,41,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,42,45
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,43,67
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,44,52
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,45,59
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,46,17
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,47,61
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,48,49
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,49,47
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,50,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,51,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,52,44
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,53,57
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,54,32
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,55,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,56,37
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,57,43
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,58,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,59,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,বাংলাদেশ ও বিশ্ব পরিচয়,WR,60,44
