institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,1,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,2,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,3,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,4,15
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,5,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,6,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,7,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,8,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,9,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,10,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,11,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,12,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,13,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,14,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,15,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,16,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,17,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,18,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,জীববিজ্ঞান,Practical,19,17
