institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,1,39
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,2,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,3,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,4,38
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,5,43
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,6,36
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,7,42
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,8,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,9,45
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,10,47
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,11,49
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,12,28
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,13,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,14,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,15,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,16,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,17,44
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,18,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,19,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,20,47
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,21,42
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,22,45
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,23,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,24,47
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,25,32
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,26,48
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,27,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,28,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,29,41
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,30,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,31,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,32,50
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,33,36
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,34,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,35,26
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,36,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,37,40
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,38,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,39,41
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,40,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,41,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,42,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,43,44
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,44,31
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,45,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,46,46
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,47,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,48,47
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ক্যারিয়ার শিক্ষা,CA,49,22
