institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,1,45
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,2,63
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,3,53
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,4,44
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,5,96
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,6,58
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,7,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,8,91
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,9,90
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,10,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,11,52
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,12,96
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,13,36
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,14,96
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,15,80
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,16,82
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,17,79
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,18,98
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,19,30
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,20,85
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,21,91
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,22,60
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,23,79
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,24,29
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,25,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,26,87
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,27,91
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,28,64
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,29,79
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,30,72
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,31,65
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,32,60
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি প্রথম পত্র,WR,33,41
