institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,1,42
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,2,72
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,3,59
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,4,91
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,5,34
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,6,69
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,7,86
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,8,65
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,9,61
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,10,45
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,11,98
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,12,70
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,13,52
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,14,87
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,15,48
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,16,33
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,17,98
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,18,76
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,19,66
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,20,55
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,21,75
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,22,55
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,23,93
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,24,35
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,25,83
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,26,83
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,27,84
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,28,100
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,29,36
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,30,80
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,31,38
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,32,27
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,33,50
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,34,60
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,ইংরেজি দ্বিতীয় পত্র,WR,35,94
