institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,1,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,2,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,3,15
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,4,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,5,15
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,6,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,7,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,8,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,9,9
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,10,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,11,8
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,12,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,13,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,14,10
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,15,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,16,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,17,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,18,8
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,19,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,20,10
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,21,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,22,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,23,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,24,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,25,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,26,17
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,27,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,28,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,29,13
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,30,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,31,17
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,32,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,33,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,34,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,35,11
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,36,9
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,37,11
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,38,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,39,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,40,21
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,41,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,42,18
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,তথ্য ও যোগাযোগ প্রযুক্তি,Practical,43,18
