institute_code,year,shift,class_code,group,section,exam,subject,type,roll,marks
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,1,11
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,2,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,3,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,4,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,5,10
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,6,17
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,7,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,8,25
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,9,12
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,10,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,11,11
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,12,24
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,13,9
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,14,9
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,15,23
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,16,22
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,17,19
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,18,17
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,19,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,20,20
KSCR,2025,mornning,10	,Science,a,বার্ষিক/নির্বাচনী পরীক্ষা,পদার্থবিজ্ঞান,MCQ,21,16
